Velocidad Bala,Desplazamiento Bala Y,Estatus Retroceso
3,500,0
3,497,0
3,494,0
3,491,0
3,488,0
3,485,0
3,482,0
3,479,0
3,476,0
3,473,0
3,470,0
3,467,0
3,464,0
3,461,0
3,458,0
3,455,0
3,452,0
3,449,0
3,446,0
3,443,0
3,440,0
3,437,0
3,434,0
3,431,0
3,428,0
3,425,0
3,422,0
3,419,0
3,416,0
3,413,0
3,410,0
3,407,0
3,404,0
3,401,1
3,398,1
3,395,1
3,392,1
3,389,1
3,386,1
3,383,1
3,380,1
3,377,1
3,374,1
3,371,1
3,368,1
3,365,1
3,362,1
3,359,1
3,356,1
3,353,1
3,335,1
3,318,1
3,302,1
3,287,1
3,273,1
3,260,1
3,248,1
3,237,1
3,227,1
3,218,1
3,210,1
3,203,1
3,197,1
3,192,1
3,188,1
3,185,1
3,183,1
3,182,1
3,182,1
3,183,1
3,185,1
3,188,1
3,192,1
3,197,1
3,203,1
3,210,1
3,218,1
3,227,1
3,237,1
3,248,0
3,260,0
3,257,0
3,254,0
3,251,0
3,248,0
3,245,0
3,242,0
3,239,0
3,236,0
3,233,0
3,230,0
3,227,0
3,224,0
3,221,0
3,218,0
3,215,0
3,212,0
3,209,0
3,206,0
3,203,0
3,200,0
3,197,0
3,194,0
3,191,1
3,173,1
3,156,1
3,140,1
3,125,1
3,111,1
3,98,1
3,86,1
3,75,1
3,65,1
3,56,1
3,48,1
3,41,1
3,35,1
3,30,1
3,26,1
3,23,1
3,21,1
3,20,1
3,20,1
3,21,1
3,23,1
3,26,1
3,30,1
3,35,1
3,41,1
3,48,1
3,56,1
3,65,1
3,75,1
3,86,1
3,98,1
3,95,1
3,92,1
3,89,1
3,86,1
3,83,1
3,65,1
3,48,1
3,32,1
3,17,1
3,500,0
3,500,0
3,497,0
3,494,0
3,491,0
3,488,0
3,485,0
3,482,0
3,479,0
3,476,0
3,473,0
3,470,0
3,467,0
3,464,0
3,461,0
3,458,0
3,455,0
3,452,0
3,449,0
3,446,0
3,443,0
3,440,0
3,437,0
3,434,0
3,431,0
3,428,0
3,425,0
3,422,0
3,419,0
3,416,0
3,413,1
3,395,1
3,378,1
3,362,1
3,347,1
3,333,1
3,320,1
3,308,1
3,297,1
3,287,1
3,278,1
3,270,1
3,263,1
3,257,1
3,252,1
3,248,1
3,245,1
3,243,1
3,242,1
3,242,1
3,243,1
3,245,1
3,248,1
3,252,1
3,257,1
3,263,1
3,270,1
3,278,1
3,287,1
3,297,1
3,308,1
3,320,1
3,317,1
3,314,1
3,311,1
3,308,1
3,305,1
3,302,1
3,299,1
3,296,1
3,293,1
3,290,1
3,287,1
3,269,1
3,252,1
3,236,1
3,221,0
3,207,0
3,194,0
3,182,0
3,171,0
3,161,0
3,152,0
3,144,0
3,137,0
3,131,0
3,126,0
3,122,0
3,119,0
3,117,0
3,116,0
3,116,0
3,117,0
3,119,0
3,122,0
3,126,0
3,131,0
3,137,0
3,144,0
3,152,0
3,161,0
3,171,0
3,182,0
3,194,0
3,191,0
3,188,0
3,185,0
3,182,0
3,179,0
3,176,0
3,173,0
3,170,0
3,167,0
3,164,0
3,161,0
3,158,0
3,155,0
3,152,0
3,149,0
3,146,0
3,143,0
3,140,0
3,137,0
3,134,0
3,131,0
3,128,0
3,125,0
3,122,0
3,119,0
3,116,0
3,113,0
3,110,0
3,107,0
3,104,0
3,101,0
3,98,0
3,95,0
3,92,0
3,89,0
3,86,0
3,83,0
3,80,0
3,77,1
3,74,1
3,71,1
3,68,1
3,65,1
3,62,1
3,59,1
3,56,1
3,38,1
3,21,1
3,5,1
3,-10,1
3,-24,1
3,-37,1
3,-49,1
3,-60,1
3,-70,1
3,-79,1
3,-87,1
3,-94,1
3,-100,1
3,-105,1
3,-109,1
3,-112,1
3,-114,1
3,-115,1
3,-115,1
